ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
0338-4551,Revue Francaise de Gestion,Gen & Strat,,,3,,,1,A,0.6,,2,
1539-6924,Risk Analysis,Sociology,,,,,4,1,,6.0,,,
0925-7535,Safety Science,"OR,MS,POM",,,,,,2,,07-Aug,A,,
0347-0520,Scandinavian Journal of Economics,Economics,,,2,,3,2,A,02-May,A,3,
1502-2250 ,Scandinavian Journal of Hospitality and Tourism,Tourism,,,,,2,1,,05-Sep,A,,
0905-0167,Scandinavian Journal of Information Systems,"MIS, KM",C,,,,2,2,,01-Mar,A,,B
0956-5221,Scandinavian Journal of Management,Gen & Strat,B,,3,S,2,2,B,03-Jul,B,3,B
1439-2917,Schmalenbach Business Review,Gen & Strat,B,,,,2,1,,,,4,
0302-3427,Science and Public Policy,Innovation,,,,,2,2,,03-Apr,C,,
1075-5470,Science Communication,Comm,,,,,,2,,05-Feb,A,,
0162-2439,Science Technology and Human Values,Innovation,,,,,2,2,,04-Sep,A,,B
0138-9130,Scientometrics,Innovation,,,,,2,2,,05-Feb,A,,B
0036-9292,Scottish Journal of Political Economy,Economics,,,3,,2,1,B,01-Mar,A,,
0264-2069,Service Industries Journal,"OR,MS,POM",C,,,S,2,1,,06-Apr,B,4,B
1533-2969,Services Marketing Quarterly,Marketing,,,,,1,1,,01-May,B,,
0036-1399,SIAM Journal on Applied Mathematics,F&A,,,,,,2,,02-Sep,A,,
0097-5397,SIAM Journal on Computing,"MIS, KM",A,,,,,2,,04-Apr,C,,
0363-0129,SIAM Journal on Control and Optimization,"OR,MS,POM",,,,,,2,,03-Sep,,,
0036-1410,SIAM Journal on Mathematical Analysis,F&A,,,,,,2,,02-Jul,,,
1052-6234,SIAM Journal on Optimization,"OR,MS,POM",,,,,3,2,,04-Aug,,,
0036-1445,SIAM review,"OR,MS,POM",,,,,,2,,24-Apr,,,
0921-898X,Small Business Economics,Entrep,B,,2,P,3,2,A,08-Aug,A,2,B
1046-4964,Small Group Research,"OS/OB,HRM/IR",,,,,2,1,,03-Sep,A,4,
0176-1714,Social Choice and Welfare,Sociology,,,1,,3,1,A,01-Sep,A,,
0144-5596,Social Policy and Administration,PSM,,,,,2,2,,03-Jul,A,,B
0037-7791,Social Problems,Sociology,,,,,,2,,04-Jan,A,,
1948-5506,Social Psychological and Personality Science,Psychology,,,,,3,,,07-Sep,B,,
0277-9536,Social Science and Medicine,Sociology,,,1,,4,2,A,06-Jan,,2,
0038-4941,Social Science Quarterly,Sociology,,,,,,1,,01-Jun,B,,
0037-7961,Social Service Review,PSM,,,,,,2,,02-Apr,B,,
0306-3127,Social Studies of Science,Innovation,,,,,2,2,,06-Jun,,,
0038-0121,Socio-Economic Planning Sciences,Economics,,,,,2,1,,04-Sep,C,4,
1475-1461,Socio-Economic Review,Economics,B,,3,,3,2,B,05-Jun,A,2,B
1475-682X,Sociological Inquiry,Sociology,,,,,,1,,01-Jun,A,,
0081-1750,Sociological Methodology,Sociology,,,,,3,2,,02-May,A,,
0049-1241,Sociological Methods and Research,Sociology,,,,,,2,B,7.0,A,4,
0038-0261,Sociological Review,Sociology,,,,,3,2,,04-Jan,A,,
0735-2751,Sociological Theory,Sociology,,,,,,2,,04-Mar,A,,
0038-0296,Sociologie du Travail,Sociology,,,,,2,1,,0.6,B,,
0038-0385,Sociology,Sociology,,,,,4,2,,05-Jul,A*,2,
1467-9566,Sociology of Health and Illness,Sociology,,,,,4,2,,4.0,,,
0741-1235,Sociology of Sport Journal,Sociology,,,,,,1,,02-Jun,A,,
0038-4038,Southern Economic Journal,Economics,,,2,,2,1,A,01-Jul,A,,
1441-3523,Sport Management Review,Gen & Strat,,,,,2,1,,06-May,A,4,B
1086-1718,Strategic Change,Gen & Strat,,,4,,2,,C,03-May,,4,
1932-4391,Strategic Entrepreneurship Journal,Gen & Strat,A,1,2,P,4,2,A,10-Feb,A,1,A
0143-2095,Strategic Management Journal,Gen & Strat,A,1,1*,P*,4*,2,A,12-May,A*,1*,A+
1476-1270,Strategic Organization,Gen & Strat,B,,2,P,3,2,A,7.0,A,2,B
2333-2050,Strategy Science,Gen & Strat,,,3,,,1,B,,A,,B
1532-3005,Stress and Health,"OS/OB,HRM/IR",,,,,2,1,,5.0,A,,
1070-5511,Structural Equation Modeling,Marketing,B,,,,,1,,05-Aug,A,,
0039-3606,Studies in Comparative International Development,Sociology,,,,,,1,,02-Feb,A,,
0307-5079,Studies in Higher Education,Education,,,,,3,2,,06-Aug,A,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1359-8546,Supply Chain Management,"OR,MS,POM",B,,3,S,3,2,A,09-Mar,A,2,B
0040-1625,Technological Forecasting and Social Change,Innovation,B,,2,S,3,1,A,12-Jan,A,2,B
0953-7325,Technology Analysis and Strategic Management,Gen & Strat,C,,3,S,2,1,B,04-Jan,B,3,
0040-1706,Technometrics,"OR,MS,POM",,,,,,2,,04-Feb,A,,
0166-4972,Technovation,Innovation,C,,2,S,3,2,A,10-Apr,A,2,B
0308-5961,Telecommunications Policy,"MIS, KM",C,,4,,1,1,C,05-Jan,,4,
0003-1232,The American Sociologist,Sociology,,,,,,1,,01-Mar,B,,
0021-8863,The Journal of Applied Behavioral Science,Psychology,B,,3,,2,1,B,3.0,B,3,
1933-6837,Theoretical Economics,Economics,,,1,,4,2,A,02-Aug,A*,,
0040-5833,Theory and Decision,"OR,MS,POM",B,,2,,2,1,A,01-Jun,A,,B
0263-2764,"Theory, Culture and Society",Gen & Strat,,,,,3,2,,04-Aug,A,3,B
0143-6597,Third World Quarterly,Sociology,,,3,,2,1,B,03-May,A,,
1096-4762,Thunderbird International Business Review,IB,C,,4,,2,1,C,03-Aug,B,4,
1478-3363,Total Quality Management and Business Excellence,"OR,MS,POM",,,4,S,2,1,C,06-Feb,C,4,
1083-5423,Tourism Analysis,Tourism,,,,,2,1,,02-Mar,A,4,
1354-8166,Tourism Economics,Economics; Tourism,,,4,,2,1,C,04-Feb,A,4,
0261-5177,Tourism Management,Tourism,,,2,,4,2,A,16-May,A*,1,
2211-9736 ,Tourism Management Perspectives,Tourism,,,,,2,1,,06-Aug,A,4,
2156-8316,Tourism Planning and Development,Tourism,,,,,2,,,,B,4,
0041-0020,Town Planning Review,PSM,,,,,2,2,,01-Sep,,,
1014-9562,Transnational Corporations,"Economics, IB",D,,,S,2,1,,04-Mar,,,
0967-070X,Transport Policy,"OR,MS,POM",,,3,,2,2,B,06-Sep,A,3,B
0144-1647,Transport Reviews,"OR,MS,POM",,,3,S,2,2,B,14-Mar,A,3,B
0049-4488,Transportation,"OR,MS,POM",C,,,S,2,2,,07-May,A,4,B
0965-8564,"Transportation Research, Part A: Policy and Practice","OR,MS,POM",B,,2,S,3,2,A,08-May,A*,2,A
0191-2615,"Transportation Research, Part B: Methodological","OR,MS,POM",B,,2,,n/a,2,A,n/a,A*,1,
0968-090X,"Transportation Research, Part C: Emerging Technologies","OR,MS,POM",,,,S,,2,,n/a,A*,,
1361-9209,"Transportation Research, Part D: Transport and Environm","eOR,MS,POM",B,,3,S,3,2,B,09-Jan,A,2,B
1366-5545,"Transportation Research, Part E: Logistics and Transporta","tOR,MS,POM",B,,2,P,3,2,A,09-Mar,A*,2,A
0041-1655,Transportation Science,"OR,MS,POM",A,,2,P*,3,2,A,06-Jun,A,,B
0042-0980,Urban Studies,PSM,,,2,,3,2,A,06-Jun,A*,2,A
0957-8765,VOLUNTAS,PSM,B,,,,2,1,C,03-Feb,B,4,
0140-2382,West European Politics,Sociology,,,,,3,2,,05-Sep,B,,
0730-8884,Work and Occupations,"OS/OB,HRM/IR",,,3,,3,2,B,05-Mar,A,3,B
0267-8373,Work and Stress,"OS/OB,HRM/IR",,,3,,4,2,B,07-Jul,A,3,B
0950-0170,"Work, Employment and Society","OS/OB,HRM/IR",B,,3,S,4,2,A,05-Apr,A,2,B
0258-6770,World Bank Economic Review,Economics,,,1,,3,1,A,03-Apr,A,2,
0257-3032,World Bank Research Observer,Economics,,,,,2,1,,06-Jan,B,,
0305-750X,World Development,Economics,,,1,,3,2,A,08-Apr,A,2,
0378-5920,World Economy,Economics,,,2,,2,1,A,2.0,A,,
0741-0883,Written Communication,Comm,,,,,,2,,03-Jan,B,,
0340-1804,Zeitschrift fur Soziologie,Sociology,,,,,,2,,01-Jul,,,
