paper,metric,metric_type,value,lo,hi,rationale,scale_min,scale_max
Hill et al. 2024,global_relevance,percentile,88.0,82.0,93.0,"Direct implications for science policy, crisis preparedness (COVID), funding design, and organizational strategy. Quantifies constraints on adaptability relevant to global priorities (health, climate, AI). Practical guidance suggested though not a cost-effectiveness study.",0,100
Hill et al. 2024,tier_should,tier,4.7,4.3,5.0,"Merits top-journal placement: novel, generalizable finding; rigorous analyses; broad interest to science-of-science, economics, management, and policy. Minor methodological caveats unlikely to outweigh contributions.",0,5
Hill et al. 2024,tier_will,tier,4.6,4.2,5.0,"Likely to publish in a leading general science or top field journal (Science/NHB/PNAS/top econ/management field). Strong track, timely topic, clear results. Some journals may prefer experimental causal designs; still high probability of top-tier.",0,5
Jack et al. 2022,overall,percentile,93.0,88.0,97.0,"High-quality RCT on a major pollution problem; clear, policy-relevant findings that partial upfront PES reduces burning and is cost-effective. Strong design, credible measurement, and careful analysis. Limitations: monitoring upon request, sensitivity to remote-sensing thresholds, potential labeling bias, and external validity at scale.",0,100
Jack et al. 2022,claims_evidence,percentile,90.0,85.0,95.0,"Research question and claims are explicit. Evidence from village-randomized RCT (171 villages, 1,668 farmers) plus satellite-based outcomes; consistent across measures; null for standard PES. Sensitivity analyses and accuracy tradeoffs discussed. Some concerns: labels for no-burn from treated group only; selection into monitoring addressed via remote sensing.",0,100
Jack et al. 2022,methods,percentile,90.0,84.0,94.0,"Stratified randomization, clustered SEs, pre-analysis plan, Lee bounds for attrition outcomes. Remote-sensing RF trained on spot checks/monitoring; balanced vs max-accuracy thresholds; bias checks. Cost-effectiveness computed transparently. Remaining issues: classification accuracy 78–82%, negatives only from treated, monitoring requires farmer call-in.",0,100
Jack et al. 2022,advancing_knowledge,percentile,92.0,86.0,96.0,Demonstrates contract timing (partial upfront) improves PES compliance and reduces burning; first clean test for this context; compelling cost-effectiveness vs alternatives. Adds practical guidance for PES/CCT design and environmental policy; remote-sensing approach useful. High applied impact even if methodological novelty is moderate.,0,100
Jack et al. 2022,logic_communication,percentile,90.0,85.0,95.0,"Clear motivation, hypotheses, and policy stakes. Concepts and assumptions are explicit; tables/figures align with text. Limitations and robustness transparently discussed. Remote-sensing methods are complex but explained sufficiently for readers to follow implications.",0,100
Jack et al. 2022,open_science,percentile,70.0,60.0,80.0,"Pre-registered RCT; methods described with accuracy metrics and thresholds. However, no full code/data release indicated; PlanetScope data are proprietary; replication would need additional materials. Still, documentation is adequate for credible reproduction by equipped teams.",0,100
Jack et al. 2022,global_relevance,percentile,96.0,91.0,99.0,Addresses a leading health burden in India; quantifies cost per unburned acre and compares with other abatement options; directly actionable for policymakers and practitioners. Discussion of scale-up constraints and monitoring provides realistic guidance.,0,100
Jack et al. 2022,tier_should,tier,4.6,4.0,5.0,"Rigor, originality in contract design for PES, strong internal validity, and major policy relevance warrant top field or A-journal. Minor measurement caveats and external validity concerns slightly temper a unanimous A-journal call.",0,5
Jack et al. 2022,tier_will,tier,4.5,3.8,5.0,"Likely to publish in a top field or possibly a general-interest applied A-journal given rigor, policy relevance, and clear results. The niche context and measurement complexities may nudge toward top field rather than the very top general outlets.",0,5
Jaroszewicz et al. 2024,overall,percentile,88.0,84.0,92.0,"Large preregistered RCT (N>5k) with strong design, admin bank data, careful analyses, and transparent null/negative findings versus expert priors. Extensive robustness, attrition bounds, and clear mechanism exploration plus illustrative model. Context limits generality (one-off, HIC, pandemic), but execution and insight are top-tier.",0,100
Jaroszewicz et al. 2024,claims_evidence,percentile,87.0,82.0,91.0,"Main claims are modest and well-aligned with evidence: UCTs increased spending but did not improve preregistered survey indices; some negative subjective effects; no dose response; predictions overstated effects. Multiple testing controls, ITT, robustness, bounds, and mediation with caveats. Mechanism claims are careful and framed as most consistent, not definitive.",0,100
Jaroszewicz et al. 2024,methods,percentile,90.0,86.0,94.0,"Strong randomization, power-aware allocation, preregistration and PAP, Anderson indices, BH/WY adjustments, ITT focus with TOT-like checks, admin bank data, spending categories, MPC estimates, attrition diagnostics (Lee/HM bounds, MI), and timing exploits. Minor limitations: reliance on self-reports for outcomes, index weighting choices, partial bank-data coverage.",0,100
Jaroszewicz et al. 2024,advancing_knowledge,percentile,85.0,79.0,90.0,"Provides rare, rigorous evidence on one-off UCTs in a HIC, quantifies MPCs, and tightens plausible benefit ranges. Challenges optimistic priors (experts/laypeople) and adds a plausible mechanism with a formal model. High practical salience for UCT design and ‘cash-plus’. Limits: short horizon, specific amounts/context, no admin long-run outcomes.",0,100
Jaroszewicz et al. 2024,logic_communication,percentile,90.0,85.0,94.0,"Clear goals, transparent reasoning, explicit assumptions, thorough robustness and appendices. Figures/tables integrate with narrative. Distinguishes objective vs subjective outcomes. Mechanism section cautious and well-motivated. Minor density, but overall highly readable and logically consistent.",0,100
Jaroszewicz et al. 2024,open_science,percentile,72.0,65.0,78.0,"Pre-registration and detailed PAP/materials; comprehensive appendices. Some data (bank transactions) are non-shareable; code/data availability not fully evident, limiting full replication. Still, analyses are described in replicable detail and key outputs are well-documented.",0,100
Jaroszewicz et al. 2024,global_relevance,percentile,82.0,75.0,88.0,"Highly relevant to social protection and UCT policy in HICs: shows spending rises but well-being may not, and sets bounds on likely effects. Offers guidance on transfer sizing, timing, and potential ‘cash-plus’ needs. External validity caveats (pandemic, one-off, specific amounts) and limited cost-effectiveness quantification temper scope.",0,100
Jaroszewicz et al. 2024,tier_should,tier,4.4,3.8,4.8,"Methodologically exemplary, policy-relevant, and informative nulls with novel prediction-contrast and mechanism modeling. Merits top field or marginal general-interest placement. Contextual limits and nulls may deter some A-journals, but contribution justifies high tier.",0,5
Jaroszewicz et al. 2024,tier_will,tier,4.0,3.3,4.5,Likely in a strong top field or AEJ/JPAM-style outlet; a general-interest A-journal is plausible but less certain given null/negative results and context specificity. High execution and topical importance raise placement prospects.,0,5
Kirkland et al. 2023,overall,percentile,72.0,64.0,80.0,"Large multi-country sample; preregistered; appropriate multilevel modeling with within/between decomposition; clear, cautious claims. Limits: student samples, single-item trust, cross-sectional mediation, modest effects, and mixed inequality indicators. Solid contribution for the field rather than transformative.",0,100
Kirkland et al. 2023,claims_evidence,percentile,68.0,60.0,75.0,"Questions are clear; evidence from LMMs with controls and within/between centering; MI reported. Effects mainly within-country and modest. Mediation is framed cautiously, but cross-sectional design and single-item trust constrain strength. Objective Gini null weakens some claims.",0,100
Kirkland et al. 2023,methods,percentile,70.0,62.0,78.0,"Sound multilevel approach, partitioning within/between effects; preregistration and robustness checks; measurement invariance. Weaknesses: convenience student samples, single-item trust, cross-sectional mediation, many covariates risk overadjustment, and limited between-country variance/power.",0,100
Kirkland et al. 2023,advancing_knowledge,percentile,60.0,50.0,68.0,First multinational study linking moral expansiveness to societal factors; highlights generalized trust and perceived wealth gap. Nulls for objective inequality inform debate. Practical and policy implications are tentative; advances are incremental rather than field-changing.,0,100
Kirkland et al. 2023,logic_communication,percentile,78.0,70.0,85.0,"Clear goals, definitions, and narrative; figures/tables support arguments. Assumptions and limitations are discussed; causal caution mostly maintained. A few mediation statements could be interpreted causally, but overall logic is coherent and transparent.",0,100
Kirkland et al. 2023,open_science,percentile,65.0,55.0,75.0,"Preregistered; analysis code shared; measures and modeling are well-documented; MI and extensive supplements. Data are available on request rather than fully open, limiting reproducibility. Overall above-average transparency.",0,100
Kirkland et al. 2023,global_relevance,percentile,55.0,45.0,65.0,"Addresses trust, inequality perceptions, and inclusiveness—relevant to social cohesion. Offers qualitative guidance but limited actionable, quantified policy insights. Student-heavy samples and cross-sectional design limit external validity; country-level nulls temper policy utility.",0,100
Kirkland et al. 2023,tier_should,tier,3.2,2.8,3.8,"Merits a strong field journal given scope, preregistration, and solid multilevel analyses. Correlational design, single-item measures, and modest/mixed effects preclude top-tier placement.",0,5
Kirkland et al. 2023,tier_will,tier,3.1,2.6,3.6,Multinational scope and transparency make publication in a strong field journal likely; methodological limits and correlational mediation make A-journal placement unlikely.,0,5
Kremer et al. 2020,overall,percentile,82.0,74.0,89.0,Strong theory-to-practice synthesis on AMCs with concrete design lessons and substantial real-world impact. Evidence is well characterized with caveats; lacks rigorous counterfactual evaluation and depth due to short format. High practical relevance.,0,100
Kremer et al. 2020,claims_evidence,percentile,74.0,65.0,83.0,"Main questions and claims are explicit. Uses program outcomes, cost-effectiveness estimates, and comparisons; acknowledges lack of counterfactual and potential confounders. Calibrations illustrate trade-offs. Limited formal empirical evidence.",0,100
Kremer et al. 2020,methods,percentile,68.0,58.0,78.0,Relies on credible bargaining/capacity model and descriptive comparisons. Assumptions reasonable and made explicit; robustness shown via simple calibrations but no formal identification/sensitivity. Proceedings length constrains methodological depth.,0,100
Kremer et al. 2020,advancing_knowledge,percentile,80.0,70.0,90.0,"Provides actionable insights for AMC design, informs parameters on capacity, pricing, and entry, and draws lessons from implementation. High policy value for donors and global health; originality moderate as it synthesizes prior work and experience.",0,100
Kremer et al. 2020,logic_communication,percentile,88.0,82.0,94.0,"Clear goals, definitions, and assumptions; transparent reasoning with consistent logic. Caveats on evidence and counterfactuals are explicit. Writing is concise and easy to follow; figures/appendix support the narrative.",0,100
Kremer et al. 2020,open_science,percentile,62.0,50.0,74.0,References data sources and provides an online appendix and linked working paper. Methods are described clearly but no shared code or full datasets; replication of descriptive analyses would require external data assembly.,0,100
Kremer et al. 2020,global_relevance,percentile,94.0,88.0,98.0,"Directly addresses vaccine access in low-income countries, quantifies costs/benefits, and discusses implementable procurement design. Highly relevant to donors and policymakers, with guidance generalizable to other sectors.",0,100
Kremer et al. 2020,tier_should,tier,3.8,3.2,4.3,"Merits a top field/policy forum placement: clear, impactful synthesis with actionable design guidance. Not a full empirical or theoretical breakthrough for top general journals; short format suits proceedings or strong field outlets.",0,5
Kremer et al. 2020,tier_will,tier,3.7,3.0,4.2,"Likely to publish in a leading association proceedings or top field policy-oriented outlet. Topic salience, clarity, and timeliness support high placement; short length and limited new identification make full A-journal placement unlikely.",0,5
Kudymowa et al. 2023,overall,percentile,76.0,68.0,84.0,"Thorough applied review with clear recommendations, a useful derivation adapting Ramsey to percent gains, a small correction to prior calculations, and pragmatic guidance on g and update cadence. Evidence is mixed for some components (temporal risk, compounding benefits, health discounting). High clarity; modest originality and empirics.",0,100
Kudymowa et al. 2023,claims_evidence,percentile,72.0,65.0,82.0,"Strong case for SRTP, δ=0, and 3.3% growth using reputable forecasts; transparent about uncertainties. Weaker support for 0.9% compounding benefits and 1.4% temporal uncertainty; health discounting recommendation is tentative. Good institutional scan, but some deference and sparse LMIC-specific evidence.",0,100
Kudymowa et al. 2023,methods,percentile,70.0,62.0,80.0,"Reasonable methods for an applied review: clear decomposition, explicit (η−1)g derivation, spreadsheet check, structured forecast use, and defined update schedule. Limited quantitative sensitivity analysis, no formal probabilistic modeling, and reliance on expert interviews for some inputs.",0,100
Kudymowa et al. 2023,advancing_knowledge,percentile,70.0,60.0,80.0,"Adds value for philanthropic CEA practice: clarifies construction, corrects a formula, proposes a replicable g method and cadence, and collates practices. Advances practice more than theory; several parameters remain provisional, limiting decisiveness.",0,100
Kudymowa et al. 2023,logic_communication,percentile,85.0,78.0,90.0,"Well-structured, transparent assumptions, clear distinctions (SRTP vs SOC), appendices with derivations, and succinct tables. Uncertainties and confidence levels stated. A few components (compounding benefits, health discounting) remain less crisply justified.",0,100
Kudymowa et al. 2023,open_science,percentile,63.0,55.0,72.0,"Public report with appendices and referenced spreadsheet; sources traceable. However, no full code archive, some calculations are not fully scripted, and several judgments rely on interviews. Replication is feasible but not turnkey.",0,100
Kudymowa et al. 2023,global_relevance,percentile,74.0,66.0,82.0,"Directly relevant to global health/development CEAs, especially philanthropic funders. Provides quantitative parameters, update plan, and context for LMICs. Less direct for government policy; unresolved health discounting reduces immediate applicability in some settings.",0,100
Kudymowa et al. 2023,tier_should,tier,3.6,3.0,4.2,"Merits strong field journal or marginal top field outlet in health economics/policy methods or development practice. Clear applied contribution and rigor, though limited novelty/empirics and some tentative components keep it below A-journal tier.",0,5
Kudymowa et al. 2023,tier_will,tier,3.2,2.6,3.8,"Most likely to land in a top B/strong field journal or as a well-regarded institutional working paper. The applied focus, commissioned nature, and limited new data reduce odds of top field placement, but clarity and usefulness support solid publication.",0,5
Liang et al. 2025,overall,percentile,88.0,80.0,94.0,"Strong quasi-experiment using staggered county rollout with rich microdata; extensive robustness (event studies, modern DiD estimators, placebo, pollution/OCP/CEL controls). Clear, policy-relevant results. Remaining concerns: selection of reporting counties, exposure mismeasurement (hukou), modest CFPS/CHNS Ns, and simplified cost–benefit.",0,100
Liang et al. 2025,claims_evidence,percentile,86.0,80.0,92.0,Main questions are clear; evidence triangulates across census and two surveys. Parallel trends tested; placebo groups show no effects. Treatment heterogeneity handled. Some overstatements (near-100% participation; uniform services). Cost–benefit uses median annual gain vs total cost without lifetime PV.,0,100
Liang et al. 2025,methods,percentile,89.0,83.0,94.0,"Design well-justified; two-way FE with province-year FE; event-study, cohort contrasts; addresses staggered DiD bias (CS/DCDH), randomization inference, county trends, confounders incl. pollution/OCP/CEL; winsorization and multiple-testing control. Residual risks: rollout endogeneity, migration, measurement error.",0,100
Liang et al. 2025,advancing_knowledge,percentile,90.0,84.0,96.0,"One of the first to estimate adult income effects of routine growth/development monitoring at national scale; shows benefits beyond age 3 and across health, education, cognition; offers credible magnitudes for policy and GP. Creates reusable rollout dataset.",0,100
Liang et al. 2025,logic_communication,percentile,86.0,80.0,92.0,"Clear motivation, setup, and assumptions; coherent presentation; figures align with narrative; limitations discussed. Minor issues: labeling of 73% 'annual return' is imprecise; participation and standardization claims could be more cautiously framed.",0,100
Liang et al. 2025,open_science,percentile,60.0,45.0,75.0,"Design and variables described in detail; appendices document robustness. However, no explicit public code/data release; hand-collected gazetteers and restricted microdata limit reproducibility. Useful building blocks if shared.",0,100
Liang et al. 2025,global_relevance,percentile,92.0,85.0,97.0,High salience for child health policy in LMICs; quantifies long-run income and health gains and provides cost hints. External validity argued via comparable conditions; practical insights on optimal ages and sustained behaviors.,0,100
Liang et al. 2025,tier_should,tier,4.3,3.7,4.8,"Contribution, identification, and breadth warrant top field/marginal A in applied micro/dev/health. Novel income evidence on routine monitoring, strong robustness.",0,5
Liang et al. 2025,tier_will,tier,4.0,3.3,4.5,"Likely top field outlet; A-journal possible but uncertain given data idiosyncrasies, cost–benefit simplicity, and China-specific context.",0,5
McGuire et al. 2024,overall,percentile,88.0,80.0,93.0,"Ambitious, rigorous WELLBY-based CEA of psychotherapy in LMICs. Large meta-analysis, careful risk-of-bias handling, multiple validity adjustments, spillovers, and extensive sensitivity work. Clear about limitations. Some ad hoc choices (subjective weighting, long-term follow-up adjustment, pseudo-controls) temper confidence but not fatally.",0,100
McGuire et al. 2024,claims_evidence,percentile,85.0,77.0,91.0,"Main claims are explicit and appropriately caveated. Evidence spans 84 RCTs, charity RCTs, and M&E. The nature and limits of each source are well characterized. Some headline comparisons hinge on subjective weights and nonstandard adjustments, but robustness analyses largely support conclusions.",0,100
McGuire et al. 2024,methods,percentile,83.0,74.0,89.0,"Strong meta-analytic design; removes outliers/high ROB, adjusts for publication bias and range restriction; models decay; estimates spillovers; detailed cost methods. Innovative yet debatable steps (1.54 time factor, pseudo-synthetic controls, replication/response adjustments, log-dose, subjective weights). Sensitivity tests mitigate concerns.",0,100
McGuire et al. 2024,advancing_knowledge,percentile,90.0,82.0,96.0,"Substantive advance for WELLBY-based evaluation in LMIC mental health. Integrates multiple evidence streams, spillovers, and costs to inform donors. Highlights key uncertainties (dosage, relevance of specific RCTs) and sets a transparent template others can build on.",0,100
McGuire et al. 2024,logic_communication,percentile,86.0,78.0,92.0,"Goals, assumptions, and steps are clearly laid out. Reasoning is transparent; diagrams and tables help. Very detailed but coherent. Some ad hoc choices could use stronger formal justification, yet conclusions are generally consistent with presented evidence.",0,100
McGuire et al. 2024,open_science,percentile,72.0,60.0,82.0,"Systematic review with double-checking and risk-of-bias; extensive appendices and summary spreadsheet; methods in R described. However, full code/data availability is not clearly public and charity M&E microdata are private, so full reproduction would be challenging.",0,100
McGuire et al. 2024,global_relevance,percentile,92.0,85.0,97.0,"Highly decision-relevant for global priorities: scalable psychotherapy in SSA, quantified WELLBYs per $, clear comparison to cash transfers, and actionable sensitivity ranges. Addresses implementation and policy context with practical implications for funding.",0,100
McGuire et al. 2024,tier_should,tier,3.8,3.2,4.4,"On merit, fits a strong/top field journal in global health/mental health or wellbeing economics: robust synthesis, novel adjustments, and policy relevance. Ad hoc elements and reliance on nonpublic M&E data may limit suitability for top general journals.",0,5
McGuire et al. 2024,tier_will,tier,3.2,2.6,3.8,Likely to publish as an institute report and/or in solid field journals. The core meta-analysis could place higher; the full decision-analytic package with subjective weights and private data likely lands in strong field outlets rather than A-journals.,0,5
Naidu et al. 2023,overall,percentile,92.0,88.0,96.0,"Large RCT with strong first stage; careful ITT/IV; integrates admin data, attrition reweighting and bounds; novel MTE use; clear insights on pecuniary returns, intermediary fees, and non-pecuniary costs. Some limits: attrition imbalance, linear MTE assumption, corridor-specific external validity.",0,100
Naidu et al. 2023,claims_evidence,percentile,91.0,87.0,95.0,"Main claims (earnings gains, sizable fees, SWB declines, heterogeneous tastes) are supported by RCT-based ITT/IV, admin-imputed checks, and bounds. Extrapolations via linear MTE are flagged as assumptions. Conclusions mostly calibrated to evidence; uncertainty noted where applicable.",0,100
Naidu et al. 2023,methods,percentile,88.0,83.0,92.0,"Randomized offer design; stratified FE; clustered SEs; multiple attrition remedies; admin contract data for imputation; Manski bounds; reservation wages. MTE adds structure (linearity/monotonicity). Potential issues: attrition imbalance, self-reported outcomes, limited pre-spec, context-specific external validity.",0,100
Naidu et al. 2023,advancing_knowledge,percentile,93.0,89.0,97.0,"First causal evidence at scale on guest worker offers in the India–UAE corridor with direct worker outcomes, costs paid to intermediaries, and quantified non-pecuniary costs. Provides policy-relevant efficiency calculations and practical insights for program design and regulation.",0,100
Naidu et al. 2023,logic_communication,percentile,90.0,86.0,94.0,"Clear research questions, setup, and transparent reporting of assumptions. Tables/figures align with narrative; indices and variables well defined. Caveats on attrition and MTE made explicit. Some technical sections (MTE) are dense but coherent.",0,100
Naidu et al. 2023,open_science,percentile,62.0,50.0,72.0,Trial registered; methods and variable construction detailed. Uses sensitive admin data (limited sharing). Data/code availability not clearly provided; outcomes not fully pre-specified. Replication feasible with access but not turnkey.,0,100
Naidu et al. 2023,global_relevance,percentile,94.0,90.0,98.0,"Highly relevant to migration policy and global welfare. Directly informs design of guest worker programs (wages, standards, intermediation). Quantifies trade-offs practitioners face; results are actionable for large migration corridors.",0,100
Naidu et al. 2023,tier_should,tier,4.4,4.1,4.8,"Merits top field or marginal A-journal: rigorous design, novel evidence, clear policy contribution. Limitations (attrition, MTE assumption, context specificity) modestly temper suitability for very top general outlets.",0,5
Naidu et al. 2023,tier_will,tier,4.2,3.8,4.6,"Likely to land in a strong top field or marginal A-journal. High policy relevance and solid causal design; some reviewers may be cautious about attrition and extrapolations, nudging to top field rather than top general.",0,5
Salazar and Restrepo 2024,overall,percentile,85.0,78.0,91.0,"Strong, policy-relevant structural spatial GE analysis of deforestation leakage with careful reduced-form motivation. Solid modeling and calibration; sensible counterfactuals. Some strong assumptions (closed economy, parameter borrowing), limited uncertainty and robustness quantification. Preliminary draft but promising and impactful.",0,100
Salazar and Restrepo 2024,claims_evidence,percentile,80.0,72.0,88.0,"Main claims—local targeting reduces national deforestation with modest leakage—are supported by combined reduced-form and calibrated-GE evidence. Good treatment of SUTVA issues and RD validity checks. However, leakage magnitudes depend on structural assumptions; more sensitivity/external validation would strengthen the evidence.",0,100
Salazar and Restrepo 2024,methods,percentile,78.0,68.0,86.0,"Well-structured spatial GE with deforestation as an endogenous land sector, migration, trade, and non-homothetic preferences. Calibration and inversion are transparent. Estimation of key elasticities plausible but partly borrowed; closed-economy assumption; identification of δ/ψ could face endogeneity. Needs broader robustness/sensitivity and uncertainty propagation.",0,100
Salazar and Restrepo 2024,advancing_knowledge,percentile,86.0,78.0,92.0,Addresses a central open question—GE leakage of conservation—adding labor/migration and explicit deforestation technology. Quantifies leakage over time and informs design of targeted policies. Provides a versatile framework; could further add welfare/carbon accounting and policy design tools to maximize practical uptake.,0,100
Salazar and Restrepo 2024,logic_communication,percentile,82.0,74.0,89.0,"Clear motivation, theory, and empirical setup; good figures and transparency about assumptions and pitfalls. Some notation density and typos; decomposition for no-leakage counterfactual could be clarified further. Overall arguments are coherent and consistent with presented evidence.",0,100
Salazar and Restrepo 2024,open_science,percentile,65.0,55.0,75.0,Data sources are public and parameter choices are tabulated; model and estimation steps are described. Replication burden is high without released code; several constructed series and inversions would be hard to reproduce exactly. Internal consistency checks are shown but code/data availability is unclear.,0,100
Salazar and Restrepo 2024,global_relevance,percentile,90.0,82.0,96.0,"Highly relevant to climate and biodiversity policy. Results speak directly to leakage concerns in REDD+/conservation targeting. Offers quantitative guidance, though lacks explicit carbon/cost metrics and policy implementation guidance. Still very actionable for practitioners and policymakers.",0,100
Salazar and Restrepo 2024,tier_should,tier,4.2,3.6,4.7,"On merit, fits a top field environmental/development/trade outlet; could reach marginal A-journal if robustness, uncertainty analysis, and international linkages are expanded and code is released. Clear contribution and policy relevance warrant strong placement.",0,5
Salazar and Restrepo 2024,tier_will,tier,3.8,3.0,4.5,"Given preliminary status and heavy structural calibration, likely outcome is strong field journal; with further polishing and robustness it could place in a top field. Publication prospects are good, but noise and field tastes may cap it below A-journal absent additional validation.",0,5
Schoenegger et al. 2025,overall,percentile,77.0,70.0,84.0,"Large preregistered randomized experiment with clear main effect versus control, transparent reporting, and thoughtful discussion. Limitations: only six questions, sensitivity to one outlier item, control uses a weaker non-forecasting LLM (not human-only), and winsorization/standardization choices affect inference.",0,100
Schoenegger et al. 2025,claims_evidence,percentile,74.0,66.0,82.0,"Main claim—frontier LLM assistants improve human forecasting vs a non-forecasting LLM—is supported by RCT and prereg results. Authors appropriately flag outlier sensitivity and mixed aggregate effects. However, only six items, ex post sensitivity, and the control design limit the strength and scope of causal claims.",0,100
Schoenegger et al. 2025,methods,percentile,73.0,65.0,80.0,"Random assignment, preregistration, incentives, clear outcome, and appropriate analyses (ANOVA, Tukey, mixed effects, bootstrap). Choices that raise concerns: double winsorization, scaling by control SD, forced minimal engagement, temperature 0.8, only six continuous items, Prolific sample, and a non-human control.",0,100
Schoenegger et al. 2025,advancing_knowledge,percentile,76.0,68.0,83.0,"Timely causal evidence on LLM-human hybrid forecasting, probing skill heterogeneity and aggregation effects; provides design-relevant insights for AI assistants. Impact tempered by small question set, sensitivity to one item, and control choice that blurs comparisons to human-only practice; limited cross-domain generalizability.",0,100
Schoenegger et al. 2025,logic_communication,percentile,82.0,74.0,88.0,"Clear questions, hypotheses, and prereg; methods and prompts described in detail; deviations disclosed; figures readable; limitations candid. Some design justifications (e.g., control choice, preprocessing decisions) could be more fully defended; more robustness checks would strengthen confidence.",0,100
Schoenegger et al. 2025,open_science,percentile,64.0,50.0,75.0,"Preregistration and full prompts provided; model configs and procedures described. However, no explicit release of data or analysis code; reliance on proprietary APIs limits reproducibility; OSF link appears for prereg only. Internally consistent reporting but limited external replicability resources.",0,100
Schoenegger et al. 2025,global_relevance,percentile,70.0,60.0,80.0,"Forecasting accuracy is relevant to policy, business, and risk prioritization. Findings suggest practical gains from LLM assistants, with caveats on aggregate effects. Lacks cost-benefit quantification and broader deployment guidance; external validity across domains and question types remains uncertain.",0,100
Schoenegger et al. 2025,tier_should,tier,3.8,3.3,4.2,"Strong, well-communicated preregistered RCT on a timely HCI/AI topic with practical implications. Outlier sensitivity, limited task breadth (six items), and control design prevent top-tier placement. Merits a top field journal; borderline for marginal A depending on added robustness and shared materials.",0,5
Schoenegger et al. 2025,tier_will,tier,3.6,3.0,4.1,"Likely to publish in a strong field journal given topic salience, scale, and clarity. Mixed findings across analyses, sensitivity to one item, and limited open materials may deter A-journals. With additional robustness checks or replication, prospects could move toward marginal A-tier.",0,5
Schuett et al. 2023,overall,percentile,85.0,75.0,92.0,"Timely, policy-relevant expert survey with clear findings and strong transparency. Sample is small and purposive; items are abstract; generalizability is limited. Nonetheless, synthesis is actionable, analyses are appropriate, and limitations are candidly discussed.",0,100
Schuett et al. 2023,claims_evidence,percentile,82.0,72.0,90.0,"Claims are scoped to expert agreement on practices; evidence (Likert responses) supports them. Correct characterization of what the survey can and cannot show. Selection bias and optional items reduce external validity, but reporting is careful.",0,100
Schuett et al. 2023,methods,percentile,78.0,68.0,86.0,Purposive sampling; preregistration; clear instrument; nonparametric tests and multiple-comparisons control. Optional items and reminders may introduce bias; limited power for subgroup tests; little qualitative reasoning. Still reasonable for descriptive aims.,0,100
Schuett et al. 2023,advancing_knowledge,percentile,80.0,70.0,90.0,"Provides a consensus baseline and priority map for AGI lab governance; useful for standards, audits, and policy. Less theoretical novelty; impact hinges on adoption and representativeness. Valuable, especially for applied practice.",0,100
Schuett et al. 2023,logic_communication,percentile,88.0,80.0,94.0,"Clear goals, definitions, and framing; transparent reasoning; results tied to conclusions; figures and tables are readable; limitations and policy implications explicit. Minimal overreach.",0,100
Schuett et al. 2023,open_science,percentile,90.0,82.0,96.0,"Preregistration, OSF materials, code and data shared where possible; methods documented; deviations disclosed. Demographic/text withholding is justified for anonymity, slightly limiting full reproducibility.",0,100
Schuett et al. 2023,global_relevance,percentile,92.0,85.0,97.0,"Directly addresses high-stakes governance of advanced AI with actionable practices for labs, regulators, and SDOs across jurisdictions. Quantification of costs/benefits is limited; implementation specifics deferred.",0,100
Schuett et al. 2023,tier_should,tier,3.6,3.0,4.2,"Strong applied governance survey with rigor and transparency, offering practical value. Best suited to a strong field or top policy venue; modest methodological novelty and small N limit A-journal suitability.",0,5
Schuett et al. 2023,tier_will,tier,3.2,2.6,3.8,"Likely to publish in a solid field/policy journal or reputable governance venue. Timeliness helps, but abstract items, selection bias, and limited novelty make top-tier general outlets unlikely.",0,5
Trammel and Aschenbrenner 2025,overall,percentile,90.0,82.0,95.0,"Rigorous theory unifying state and transition risk with policy response; overturns standard ‘stagnation is safe’ assumption; clear propositions, conditions, and simulations. Limitations: 1-D technology, stylized hazard forms, planner/CRRA assumptions, little empirical calibration. Still likely impactful for growth–x-risk debates.",0,100
Trammel and Aschenbrenner 2025,claims_evidence,percentile,90.0,85.0,95.0,"Main claims are conditional and precisely stated; supported by formal derivations and proofs, with illustrative simulations. Assumptions explicit; edge cases explored (gamma regimes, policy frictions). Limited empirical evidence/calibration restrains external validation but characterization of evidence is accurate.",0,100
Trammel and Aschenbrenner 2025,methods,percentile,85.0,78.0,90.0,"Mathematical modeling is sound; optimization and comparative statics are transparent; robustness across functional forms/parameters discussed. Assumptions (one-dimensional tech, isoelastic utility, benevolent planner, specific hazard elasticities) reduce external validity but are well-motivated for the questions posed.",0,100
Trammel and Aschenbrenner 2025,advancing_knowledge,percentile,88.0,80.0,94.0,"Clarifies when faster growth lowers cumulative x-risk; introduces an existential-risk Kuznets curve; decomposes state vs transition risk; gives conditions for survival under optimal policy. Provides a framework useful for AI/bio/climate risk policy. Less novel empirically, but conceptually important and actionable.",0,100
Trammel and Aschenbrenner 2025,logic_communication,percentile,90.0,85.0,95.0,"Clear definitions, notation, and structure; propositions with proofs; intuitive explanations and figures; limitations and scope stated. Dense but coherent and consistent. Minor complexity from technical appendices, but overall argument is transparent and logically tight.",0,100
Trammel and Aschenbrenner 2025,open_science,percentile,80.0,70.0,90.0,"Proofs and derivations provided; parameters stated; code link for simulations for replication. No original data; some reliance on appendices. For a theory paper, reproducibility is good, though broader empirical validation/tools are limited.",0,100
Trammel and Aschenbrenner 2025,global_relevance,percentile,92.0,88.0,97.0,"Directly relevant to global priorities and existential risk policy; informs tradeoffs for AI/bio/climate governance and growth policy. Offers usable conditions and qualitative guidance for practitioners. Quantitative policy calibration is limited, but the framework is highly pertinent.",0,100
