author,n_seed_dois_cited,n_citing_works,seed_dois,seed_short_titles,seed_titles_full
Suad Altaei,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sudarshan RSA,1,1,10.1257/aeri.20230431,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning
Sue A. Kaplan,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Sugandha Srivastav,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Sukrit Pal,1,1,10.1287/mnsc.2023.4846,The Governance of Nonprofits and Their Social Impact,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo
Sumana Chaudhuri,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sumi Mehta,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Sumit Agarwal,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Sung Jun Jo,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sung‐Eun Cho,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Supreet Kaur,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Suresh Dalpath,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Suresh Naidu,1,1,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
Suryanto Suryanto,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Susan G. W. Laurance,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Susan Martin,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Susana Cipriano Dias Raffaelli,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Susann Fiedler,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Sutinee Sinutok,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Suzanne Oosterwijk,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Suárez Carolina,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Sven Hartlieb,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Sven Wunder,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Svetlana V. Lobova,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Svitlana Bilan,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sydney Costantini,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Syed Habib Ullah Shah,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Syedah Aroob Iqbal,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Sónia Sofia Lopes Pereira,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Sönke Ehret,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Sören Mindermann,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
T. R. Shankar Raman,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
T.J. Wong,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tabaré Capitán,1,1,10.3386/w30624,Legalizing Entrepreneurship,Legalizing Entrepreneurship
Tae‐Kyun Kim,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Taiga Kunishima,1,1,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Taisuke Imai,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Talal Fawzi Alruwaili,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Talib E. Butt,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Tamar Jankhoteli,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Tamkinat Rauf,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Tamma Carleton,1,1,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
Tania Barham,1,1,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
Tania M. Lincoln,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Tanisha Mittal,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tanveer Ahmed,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tao Hong,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tao Tao,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tao Ye,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Taoyuan Wei,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tara N. Mather,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Tara van Viegen,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Tarek R. Besold,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Tarun Sharma,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Tasneem H. Alshareef,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Taylor Corcoran,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Tegan Maharaj,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Teng Ye,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Teng Zhong,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Teo Sušnjak,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Teresa Molina,1,1,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
Thanh Thuy Le,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Themistoklis Tzimas,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Theodoros Zachariadis,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Theodoros Ν. Sergentanis,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Theresa Kuchler,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Thomas Bossuroy,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Thomas Dirkmaat,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Thomas Franke,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Thomas J. Bollyky,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Thomas Johnston,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Thomas Kubiak,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Thomas Lundhede,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Thomas Pfeiffer,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Thomas R. Berry‐Stölzle,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Thomas Sterner,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Thorben Sandmeier,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Thorsten Quandt,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Tian Wu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tianding Zhang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tianlei Pi,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Tianshu Li,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tianyu Wei,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tianyu Zhang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tim Marczylo,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Tim Sullivan,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Timothy Powell‐Jackson,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Timothy R. McIntosh,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Tina Prodromou,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Ting-Ting Sun,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tingting Sun,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tingting Xie,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tobias Bergmann,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tobias Huber,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Tobias Steindl,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Todd Pugatch,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Tom L. Osborn,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Tom Mahin,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Tom Nicholas,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Tom Wein,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Tomas Baležentis,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tomasz Gajderowicz,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Tomiwa V. Oluwajuwon,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Tommaso Ciarli,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Tong Fu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Tong Liu,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Tony Hey,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Torben S. D. Johansen,1,1,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
Toru Kitagawa,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Tushar Manekar,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Tyler H. McCormick,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Tâm Phan Huy,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
U. Neumann,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Ufuk Akcigit,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Uma Thapa,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Umair Khalil,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Umakrishnan Kollamparambil,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Umer Sahil Maqsood,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Unni Pillai,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Urvi Desai,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Uttam Golder,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Uwe Handmann,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Uyen Trang Nguyen,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Uzaib Saya,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Uzma Afzal,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
V. V. Mironov,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Valentina Cafarelli,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Valentina Karginova-Gubinova,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Valeria D. Dmitrieva,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Valeria S. Kaptsova,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Valerii Osetskyi,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Valery I. Bezrukov,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Vandana Shukla,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Vandana Vinayak,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Vanessa Mertins,1,1,10.1287/mnsc.2020.00596,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experimen…,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook
Varun Dutt,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Varun Parepally,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Venkat Narayana Rao T.,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Veronica Martinez,1,1,10.1287/mnsc.2023.4846,The Governance of Nonprofits and Their Social Impact,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo
Veronika Belikova-Gerth,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Veronika Karnowski,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Vicky M. Temperton,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Vicky Pryce,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Victor Chernozhukov,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Victor Jaeck,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Victor Mwapasa,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Victoria Oubiña,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Victoria Strokova,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Vidya Diwakar,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Vijay Mohan,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Vijender Singh,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Vilas Dhar,1,1,10.3386/w31409,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking
Vincent Somville,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Vinícius Amorim Sobreiro,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Viral V. Acharya,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Virgilio Hermoso,1,1,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Vitaly Tambovtsev,1,1,10.3386/w31663,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic…","Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development"
Vitor Hadad,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Vladimir Kozlov,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Vojtěch Bartoš,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Vânia Zuin Zeidler,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Víctor Giménez,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Víctor Orozco-Olvera,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
W. J. Wouter Botzen,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
W. Kent Brown,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Walter Yuan,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Wan-Jiun Paul Chiou,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Wang Hao,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wang Jin,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wang Jinnan,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wang Juan,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Wang Wen,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wang Yong-xing,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Wang-Sheng Lee,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Wei Der Tsai,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Wei Dou,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Wei Huang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wei Lin,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Wei Shen,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Wei Tang,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Wei Xiao,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Wei Xiong,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Weifen Lin,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Weihua Qu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Weiwei Fu,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Weiwei Hu,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Weixiang Xu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Weizhu Hou,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wen Jiang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Wen Lin,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
