author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Mohammad Abdul Awal Miah,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Mohammad Ali Al-Afeef,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Mohammad M. Herzallah,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Mohammed Mohsin,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Mohit Sood,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Moitshepi Matsheng,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Molly Frazer,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Monica Singhal,Cash Transfers for Child Development,Cash Transfers for Child Development: Experimental Evidence from India,,1,1
Monika K. Rabarison,Biodiversity Risk,Biodiversity Risk,,1,1
Mosa Moshabela,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Mouhcine Guettabi,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Muhammad Awais Akbar,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Muhammad Ramzan Kalhoro,Biodiversity Risk,Biodiversity Risk,,1,1
Musharraf Cyan,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Myles Wagner,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Mylène Lagarde,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Nagendra P. Luitel,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Najmedin Meshkati,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Namdeo Dongare,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Naoki Kondo,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Nargess Golshan,Biodiversity Risk,Biodiversity Risk,,1,1
Natalia Rigol,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Natalya Martynova,Biodiversity Risk,Biodiversity Risk,,1,1
Natasha C. Allard,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Natcha Connot,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Nathaniel Gundersen,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Nathaniel Jensen,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Naureen Karachiwalla,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Nayantara Sarma,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Neale Mahoney,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Neil George Cherian,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Neil Stewart,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Nele Jensen,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Nelson C. Mark,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Nestor Gregorio,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Nichola J. Davis,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Nicholas Apergis,Biodiversity Risk,Biodiversity Risk,,1,1
Nicholas Calbraith Owsley,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Nicholas Miller,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Nick Tsivanidis,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Nico Wunderling,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Nicola Ranger,Biodiversity Risk,Biodiversity Risk,,1,1
Nicolas Longuet Marx,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Nicole Darmon,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Nicolette J. Sullivan,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Niels Strange,Biodiversity Risk,Biodiversity Risk,,1,1
Nina Ashley O. Dela Cruz,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Nina de la Cruz,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Ning An,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Ning Jia,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Ning Neil Yu,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Ning Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Niroshan Siva,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Nisha Nadesan-Reddy,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Nityasri Sankha Narasimhamurti,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Noah Spencer,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Noam Yuchtman,Misperceptions and Demand for Democracy under Authoritarianism,Misperceptions and Demand for Democracy under Authoritarianism,,1,1
Noelle Greenwood,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Noemi Dreksler,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Nolan E. Ramer,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Noémi Berlin,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Nul Loren Oh,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Nuno Crato,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
O.I. LAIKO,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
OECD,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Ohid Yaqub,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Ola Kheir,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Olakunle Alonge,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Olayinka Aremu,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Oleg Tolstoguzov,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Olga Chiappinelli,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Olga Namen,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Oliver G. Spalt,Ends versus Means,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,1,1
Oliver Hauser,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Oliver Quiring,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Olivia Keiser,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Olivia Zhao,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Olivier Wang,Biodiversity Risk,Biodiversity Risk,,1,1
Omar Al‐Ubaydli,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Omini B. Iferi,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Orestis Troumpounis,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Oscar M Díaz-Botía,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Owen Kay,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Owen O’Donnell,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Oğuzhan Çepni,Biodiversity Risk,Biodiversity Risk,,1,1
P L Wang,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
P. Turner,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
P.-Z. Li,Biodiversity Risk,Biodiversity Risk,,1,1
Pablo Barredo,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Pablo Zoido,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Pantelis Solomou,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Paola Isaacs‐Cubides,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Paolo Bocchini,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Paolo Pertile,Pharmaceutical Pricing and R&amp;D as a Global Public Good,Pharmaceutical Pricing and R&amp;D as a Global Public Good,,1,1
Paolo Santori,Ends versus Means,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,1,1
Patricia Ruffing-Straube,Biodiversity Risk,Biodiversity Risk,,1,1
Patrick Agte,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Patrick Bolton,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Patrick Bond,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Patrick Chanda,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Patrick Gaulé,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Patrick Illien,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Patrick Levermore,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Patrick Prémand,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Patrick R. Heck,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Patrick S. Forscher,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Patrick Turner,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Patrick W. Heck,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Paul Clements,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Paul E. Carrillo,Legalizing Entrepreneurship,Legalizing Entrepreneurship,,1,1
Paul Goldsmith-Pinkham,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Paul Lohmann,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Paul Seabright,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic…","Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development",,1,1
Paul Watters,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Pauline Castaing,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Pavan Kumar,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Pedro A. Oliboni,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Pedro C. Vicente,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Pedro H. S. Brancalion,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Pedro Pereira,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,1,1
Pei Li,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pei Xu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Peibiao Liu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Peng Lü,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Peng Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pengfei Lei,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Penghu Zhu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Per Andersson,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Peter A. Raymond,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Peter Bergman,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Peter Cramton,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Peter Eibich,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Peter H. Howard,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Peter Hangoma,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Peter Iliev,Biodiversity Risk,Biodiversity Risk,,1,1
Peter J. Winch,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Peter John,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Peter Kyveryga,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Peter Svensson,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Peter Van Der Windt,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Peter Ventevogel,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Peter Warren,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Peter Werner,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Peter‐Jan Engelen,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Petre Caraiani,Biodiversity Risk,Biodiversity Risk,,1,1
Philip G. Pardey,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Philip H. S. Torr,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Philip J. Landrigan,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Philip Jefferies,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Philip Oreopoulos,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Philipp Koralus,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Philipp Scharner,Biodiversity Risk,Biodiversity Risk,,1,1
Philipp Schoenegger,Population ethical intuitions,Population ethical intuitions,,1,1
Phillip Cassey,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Pierre Azoulay,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Pierre-Luc Vautrey,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Pieter Abbeel,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Pieter Hooimeijer,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pietro Bonetti,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pijus Krūminas,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Ping Qin,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Pinghan Liang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pingping Ma,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Pingyi Lou,Biodiversity Risk,Biodiversity Risk,,1,1
Piotr Dworczak,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Piotr Lewandowski,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Ponlachart Chotikarn,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Pradeep K. Chintagunta,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Pradip Poudel,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Prakashan Chellattan Veettil,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
Prashant Bharadwaj,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Prashant Sharma,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Pratik Khanal,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Priscila B. Cano,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Prosun Bhattacharya,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Péter Szécsi,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Qian Liu,Biodiversity Risk,Biodiversity Risk,,1,1
Qiaoqiao Zhu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Qingfu Liu,Biodiversity Risk,Biodiversity Risk,,1,1
Qinlei Jing,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Qiong Wu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Qiqi Gao,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Qiqiao Lang,Biodiversity Risk,Biodiversity Risk,,1,1
Qiucen Ma,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
R Fior,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
R Liu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
R. A. Kane,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
R. K. Amit,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
R.A. Farrokhnia,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
RA Farrokhnia,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Raad Z. Homod,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Rabah Arezki,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Rachel Glennerster,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Rachel Heath,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Rachel Peletz,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Rachel Silverman,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Radosław Stupak,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Radu Vranceanu,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Rafael Valdece Sousa Bastos,Population ethical intuitions,Population ethical intuitions,,1,1
Rakesh Singh,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Ralph Essem Nordjo,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Ram Eirik Glomseth,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Ramin Mojtabai,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Randall Akee,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Rangan Gupta,Biodiversity Risk,Biodiversity Risk,,1,1
Ranjiv Khush,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Raoul van Maarseveen,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Raphael Anammasiya Ayambire,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
